t,x,y,phi
0,4.892367906066537e-06,0,0
0.005,1.467660107766132e-05,0,0
0.01,2.93521969258872e-05,0,0
0.015,4.891865291348288e-05,0,0
0.02,7.33754665548176e-05,0,0
0.025,0.0001027221354158859,0,0
0.03,0.000136958157114302,0,0
0.035,0.0001760830293192952,0,0
0.04,0.0002200962497517037,0,0
0.045,0.0002689973161839699,0,0
0.05,0.000322785726440135,0,0
0.055,0.0003814609783958335,0,0
0.06,0.0004450225699782879,0,0
0.065,0.0005134699991663039,0,0
0.07000000000000001,0.0005868027639902643,0,0
0.075,0.0006650203625321244,0,0
0.08,0.0007481222929254064,0,0
0.08500000000000001,0.000836108053355194,0,0
0.09,0.0009289771420581272,0,0
0.095,0.001026729057322397,0,0
0.1,0.001129363297487741,0,0
0.105,0.001236879360945435,0,0
0.11,0.001349276746138293,0,0
0.115,0.001466554951560657,0,0
0.12,0.001588713475758393,0,0
0.125,0.001715751817328887,0,0
0.13,0.00184766947492104,0,0
0.135,0.001984465947235261,0,0
0.14,0.00212614073302346,0,0
0.145,0.00227269333108905,0,0
0.15,0.002424123240286932,0,0
0.155,0.002580429959523498,0,0
0.16,0.002741612987756619,0,0
0.165,0.002907671823995646,0,0
0.17,0.003078605967301399,0,0
0.175,0.003254414916786168,0,0
0.18,0.0034350981716137,0,0
0.185,0.0036206552309992,0,0
0.19,0.003811085594209322,0,0
0.195,0.004006388760562168,0,0
0.2,0.004206564229427276,0,0
0.205,0.004411611500225622,0,0
0.21,0.004621530072429611,0,0
0.215,0.00483631944556307,0,0
0.22,0.005055979119201246,0,0
0.225,0.0052805085929708,0,0
0.23,0.0055099073665498,0,0
0.235,0.005744174939667718,0,0
0.24,0.005983310812105423,0,0
0.245,0.006227314483695178,0,0
0.25,0.00647618545432063,0,0
0.255,0.006729923223916811,0,0
0.26,0.006988527292470127,0,0
0.265,0.007251997160018357,0,0
0.27,0.007520332326650644,0,0
0.275,0.007793532292507495,0,0
0.28,0.00807159655778077,0,0
0.285,0.00835452462271368,0,0
0.29,0.008642315987600778,0,0
0.295,0.008934970152787962,0,0
0.3,0.00923248661867246,0,0
0.305,0.009534864885702831,0,0
0.31,0.009842104454378957,0,0
0.315,0.01015420482525204,0,0
0.32,0.01047116549892459,0,0
0.325,0.01079298597605044,0,0
0.33,0.0111196657573347,0,0
0.335,0.0114512043435338,0,0
0.34,0.01178760123545545,0,0
0.345,0.01212885593395866,0,0
0.35,0.0124749679399537,0,0
0.355,0.01282593675440214,0,0
0.36,0.0131817618783168,0,0
0.365,0.01354244281276179,0,0
0.37,0.01390797905885246,0,0
0.375,0.01427837011775541,0,0
0.38,0.01465361549068852,0,0
0.385,0.01503371467892088,0,0
0.39,0.01541866718377286,0,0
0.395,0.01580847250661601,0,0
0.4,0.01620313014887316,0,0
0.405,0.01660263961201833,0,0
0.41,0.01700700039757678,0,0
0.415,0.01741621200712497,0,0
0.42,0.01783027394229058,0,0
0.425,0.01824918570475248,0,0
0.43,0.01867294679624074,0,0
0.435,0.01910155671853662,0,0
0.44,0.01953501497347259,0,0
0.445,0.01997332106293226,0,0
0.45,0.02041647448885045,0,0
0.455,0.02086447475321314,0,0
0.46,0.02131732135805748,0,0
0.465,0.02177501380547177,0,0
0.47,0.02223755159759547,0,0
0.475,0.0227049342366192,0,0
0.48,0.02317716122478472,0,0
0.485,0.02365423206438491,0,0
0.49,0.02413614625776381,0,0
0.495,0.02462290330731659,0,0
0.5,0.02511450271548952,0,0
0.505,0.02561094398478,0,0
0.51,0.02611222661773655,0,0
0.515,0.0266183501169588,0,0
0.52,0.02712931398509747,0,0
0.525,0.02764511772485438,0,0
0.53,0.02816576083898245,0,0
0.535,0.02869124283028569,0,0
0.54,0.02922156320161917,0,0
0.545,0.02975672145588906,0,0
0.55,0.0302967170960526,0,0
0.555,0.03084154962511807,0,0
0.5600000000000001,0.03139121854614484,0,0
0.5650000000000001,0.03194572336224333,0,0
0.5700000000000001,0.032505063576575,0,0
0.5750000000000001,0.03306923869235236,0,0
0.58,0.03363824821283896,0,0
0.585,0.03421209164134938,0,0
0.59,0.03479076848124923,0,0
0.595,0.03537427823595517,0,0
0.6,0.03596262040893485,0,0
0.605,0.03655579450370692,0,0
0.61,0.03715380002384108,0,0
0.615,0.037756636472958,0,0
0.62,0.03836430335472937,0,0
0.625,0.03897680017287786,0,0
0.63,0.03959412643117712,0,0
0.635,0.0402162816334518,0,0
0.64,0.04084326528357753,0,0
0.645,0.04147507688548088,0,0
0.65,0.04211171594313941,0,0
0.655,0.04275318196058166,0,0
0.66,0.04339947444188708,0,0
0.665,0.0440505928911861,0,0
0.67,0.0447065368126601,0,0
0.675,0.04536730571054138,0,0
0.68,0.04603289908911319,0,0
0.6850000000000001,0.04670331645270971,0,0
0.6900000000000001,0.04737855730571604,0,0
0.6950000000000001,0.04805862115256819,0,0
0.7000000000000001,0.0487435074977531,0,0
0.705,0.04943321584580861,0,0
0.71,0.05012774570132348,0,0
0.715,0.05082709656893734,0,0
0.72,0.05153126795334072,0,0
0.725,0.05224025935927507,0,0
0.73,0.05295407029153267,0,0
0.735,0.05367270025495673,0,0
0.74,0.0543961487544413,0,0
0.745,0.0551244152949313,0,0
0.75,0.05585749938142253,0,0
0.755,0.05659540051896162,0,0
0.76,0.05733811821264607,0,0
0.765,0.05808565196762423,0,0
0.77,0.05883800128909526,0,0
0.775,0.0595951656823092,0,0
0.78,0.06035714465256689,0,0
0.785,0.06112393770522,0,0
0.79,0.06189554434567103,0,0
0.795,0.06267196407937328,0,0
0.8,0.06345319641183088,0,0
0.805,0.06423924084859875,0,0
0.8100000000000001,0.06503009689528261,0,0
0.8150000000000001,0.06582576405753897,0,0
0.8200000000000001,0.06662624184107513,0,0
0.8250000000000001,0.06743152975164919,0,0
0.8300000000000001,0.06824162729507001,0,0
0.835,0.06905653397719723,0,0
0.84,0.06987624930394125,0,0
0.845,0.07070077278126324,0,0
0.85,0.07153010391517516,0,0
0.855,0.07236424221173965,0,0
0.86,0.07320318717707014,0,0
0.865,0.07404693831733081,0,0
0.87,0.07489549513873656,0,0
0.875,0.07574885714755303,0,0
0.88,0.07660702385009657,0,0
0.885,0.07746999475273428,0,0
0.89,0.07833776936188394,0,0
0.895,0.07921034718401408,0,0
0.9,0.0800877277256439,0,0
0.905,0.08096991049334332,0,0
0.91,0.08185689499373294,0,0
0.915,0.08274868073348407,0,0
0.92,0.0836452672193187,0,0
0.925,0.08454665395800948,0,0
0.93,0.08545284045637974,0,0
0.9350000000000001,0.08636382622130349,0,0
0.9400000000000001,0.08727961075970542,0,0
0.9450000000000001,0.08820019357856083,0,0
0.9500000000000001,0.08912557418489572,0,0
0.9550000000000001,0.0900557520857867,0,0
0.96,0.09099072678836105,0,0
0.965,0.09193049779979669,0,0
0.97,0.09287506462732215,0,0
0.975,0.0938244267782166,0,0
0.98,0.09477858375980984,0,0
0.985,0.09573753507948227,0,0
0.99,0.0967012802446649,0,0
0.995,0.09766981876283937,0,0
1,0.09864315014153791,0,0
1.005,0.09962127388834333,0,0
1.01,0.100604189510889,0,0
1.015,0.1015918965168591,0,0
1.02,0.102584394413988,0,0
1.025,0.1035816827100609,0,0
1.03,0.1045837609129136,0,0
1.035,0.1055906285304323,0,0
1.04,0.1066022850705539,0,0
1.045,0.1076187300412659,0,0
1.05,0.108639962950606,0,0
1.055,0.109665983306663,0,0
1.06,0.1106967906175757,0,0
1.065,0.1117323843915338,0,0
1.07,0.1127727641367773,0,0
1.075,0.1138179293615969,0,0
1.08,0.1148678795743337,0,0
1.085,0.1159226142833794,0,0
1.09,0.1169821329971761,0,0
1.095,0.1180464352242165,0,0
1.1,0.1191155204730438,0,0
1.105,0.1201893882522516,0,0
1.11,0.121268038070484,0,0
1.115,0.1223514694364356,0,0
1.12,0.1234396818588517,0,0
1.125,0.1245326748465276,0,0
1.13,0.1256304479083095,0,0
1.135,0.1267330005530939,0,0
1.14,0.1278403322898277,0,0
1.145,0.1289524426275083,0,0
1.15,0.1300693310751835,0,0
1.155,0.1311909971419517,0,0
1.16,0.1323174403369616,0,0
1.165,0.1334486601694123,0,0
1.17,0.1345846561485534,0,0
1.175,0.1357254277836849,0,0
1.18,0.1368709745841573,0,0
1.185,0.1380212960593712,0,0
1.19,0.139176391718778,0,0
1.195,0.1403362610718794,0,0
1.2,0.1415009036282271,0,0
1.205,0.1426703188974238,0,0
1.21,0.1438445063891222,0,0
1.215,0.1450234656130255,0,0
1.22,0.1462071960788872,0,0
1.225,0.1473956972965112,0,0
1.23,0.1485889687757517,0,0
1.235,0.1497870100265135,0,0
1.24,0.1509898205587515,0,0
1.245,0.152197399882471,0,0
1.25,0.1534097475077277,0,0
1.255,0.1546268629446276,0,0
1.26,0.155848745703327,0,0
1.265,0.1570753952940326,0,0
1.27,0.1583068112270014,0,0
1.275,0.1595429930125407,0,0
1.28,0.1607839401610081,0,0
1.285,0.1620296521828115,0,0
1.29,0.1632801285884092,0,0
1.295,0.1645353688883096,0,0
1.3,0.1657953725930716,0,0
1.305,0.1670601392133042,0,0
1.31,0.1683296682596668,0,0
1.315,0.1696039592428691,0,0
1.32,0.170883011673671,0,0
1.325,0.1721668250628826,0,0
1.33,0.1734553989213644,0,0
1.335,0.174748732760027,0,0
1.34,0.1760468260898315,0,0
1.345,0.177349678421789,0,0
1.35,0.178657289266961,0,0
1.355,0.179969658136459,0,0
1.36,0.181286784541445,0,0
1.365,0.182608667993131,0,0
1.37,0.1839353080027795,0,0
1.375,0.1852667040817028,0,0
1.38,0.1866028557412639,0,0
1.385,0.1879437624928756,0,0
1.39,0.1892894238480011,0,0
1.395,0.1906398393181537,0,0
1.4,0.191995008414897,0,0
1.405,0.1933549306498445,0,0
1.41,0.1947196055346604,0,0
1.415,0.1960890325810585,0,0
1.42,0.1974632113008031,0,0
1.425,0.1988421412057086,0,0
1.43,0.2002258218076395,0,0
1.435,0.2016142526185105,0,0
1.44,0.2030074331502865,0,0
1.445,0.2044053629149824,0,0
1.45,0.2058080414246634,0,0
1.455,0.2072154681914446,0,0
1.46,0.2086276427274914,0,0
